Code,Title,Size,Price,Link
Cód. 34513,Casa Interlagos,369m²,3850000.0,https://www.bassanesi.com.br/imovel/34513/casa-para-comprar-com-369m-3-dormitorios-interlagos-em-caxias-do-sul/
Cód. 34512,Apartamento Vila Verde,53m²,,https://www.bassanesi.com.br/imovel/34512/apartamento-para-alugar-ou-comprar-com-53m-2-dormitorios-vila-verde-em-caxias-do-sul/
Cód. 34511,Apartamento Vila Verde,53m²,,https://www.bassanesi.com.br/imovel/34511/apartamento-para-alugar-ou-comprar-com-53m-2-dormitorios-vila-verde-em-caxias-do-sul/
Cód. 34507,Terreno São Victor COHAB,6052m²,500000.0,https://www.bassanesi.com.br/imovel/34507/terreno-para-comprar-com-6052m-sao-victor-cohab-em-caxias-do-sul/
Cód. 34504,Apartamento Jardim América,95m²,,https://www.bassanesi.com.br/imovel/34504/apartamento-para-alugar-ou-comprar-com-95m-2-dormitorios-jardim-america-em-caxias-do-sul/
Cód. 34503,Terreno Serrano,360m²,220000.0,https://www.bassanesi.com.br/imovel/34503/terreno-para-comprar-com-360m-serrano-em-caxias-do-sul/
Cód. 34502,Terreno Serrano,360m²,300000.0,https://www.bassanesi.com.br/imovel/34502/terreno-para-comprar-com-360m-serrano-em-caxias-do-sul/
Cód. 34500,Apartamento Desvio Rizzo,69m²,430000.0,https://www.bassanesi.com.br/imovel/34500/apartamento-para-comprar-com-69m-2-dormitorios-desvio-rizzo-em-caxias-do-sul/
Cód. 34498,Terreno Vinhedos,,250000.0,https://www.bassanesi.com.br/imovel/34498/terreno-para-comprar-vinhedos-em-caxias-do-sul/
Cód. 34497,Casa Cinqüentenário,304m²,1100000.0,https://www.bassanesi.com.br/imovel/34497/casa-para-comprar-com-304m-4-dormitorios-cinquentenario-em-caxias-do-sul/
Cód. 34495,Apartamento Villagio Iguatemi,33m²,220000.0,https://www.bassanesi.com.br/imovel/34495/apartamento-para-comprar-com-33m-1-dormitorio-villagio-iguatemi-em-caxias-do-sul/
Cód. 34487,Terreno Forqueta,837m²,7500000.0,https://www.bassanesi.com.br/imovel/34487/terreno-para-comprar-com-837m-forqueta-em-caxias-do-sul/
Cód. 34485,Casa Petrópolis,221m²,790000.0,https://www.bassanesi.com.br/imovel/34485/casa-para-comprar-com-221m-3-dormitorios-petropolis-em-caxias-do-sul/
Cód. 34484,Casa Santa Lúcia,160m²,710000.0,https://www.bassanesi.com.br/imovel/34484/casa-para-comprar-com-160m-3-dormitorios-santa-lucia-em-caxias-do-sul/
Cód. 34480,Chácara 3 Legua,80m²,830000.0,https://www.bassanesi.com.br/imovel/34480/chacara-para-comprar-com-80m-2-dormitorios-3-legua-em-caxias-do-sul/
Cód. 34479,Casa Marechal Floriano,323m²,620000.0,https://www.bassanesi.com.br/imovel/34479/casa-para-comprar-com-323m-5-dormitorios-marechal-floriano-em-caxias-do-sul/
Cód. 34476,Chácara Galópolis,600m²,2200000.0,https://www.bassanesi.com.br/imovel/34476/chacara-para-comprar-com-600m-5-dormitorios-galopolis-em-caxias-do-sul/
Cód. 34475,Terreno Cidade Nova,360m²,360000.0,https://www.bassanesi.com.br/imovel/34475/terreno-para-comprar-com-360m-cidade-nova-em-caxias-do-sul/
Cód. 34470,Terreno Criúva,100m²,240000.0,https://www.bassanesi.com.br/imovel/34470/terreno-para-comprar-com-100m-criuva-em-caxias-do-sul/
Cód. 34469,Terreno Forqueta,320m²,215000.0,https://www.bassanesi.com.br/imovel/34469/terreno-para-comprar-com-320m-forqueta-em-caxias-do-sul/
Cód. 34468,Terreno Forqueta,320m²,215000.0,https://www.bassanesi.com.br/imovel/34468/terreno-para-comprar-com-320m-forqueta-em-caxias-do-sul/
