Code,Title,Size,Price,Link
Cód. 34513,Casa Interlagos,369m²,R$ 3.850.000,https://www.bassanesi.com.br/imovel/34513/casa-para-comprar-com-369m-3-dormitorios-interlagos-em-caxias-do-sul/
Cód. 34512,Apartamento Vila Verde,53m²,R$ 1.700 # R$ 290.000,https://www.bassanesi.com.br/imovel/34512/apartamento-para-alugar-ou-comprar-com-53m-2-dormitorios-vila-verde-em-caxias-do-sul/
Cód. 34511,Apartamento Vila Verde,53m²,R$ 1.700 # R$ 290.000,https://www.bassanesi.com.br/imovel/34511/apartamento-para-alugar-ou-comprar-com-53m-2-dormitorios-vila-verde-em-caxias-do-sul/
Cód. 34507,Terreno São Victor COHAB,6052m²,R$ 500.000,https://www.bassanesi.com.br/imovel/34507/terreno-para-comprar-com-6052m-sao-victor-cohab-em-caxias-do-sul/
Cód. 34504,Apartamento Jardim América,95m²,R$ 2.900 # R$ 450.000,https://www.bassanesi.com.br/imovel/34504/apartamento-para-alugar-ou-comprar-com-95m-2-dormitorios-jardim-america-em-caxias-do-sul/
Cód. 34503,Terreno Serrano,360m²,R$ 220.000,https://www.bassanesi.com.br/imovel/34503/terreno-para-comprar-com-360m-serrano-em-caxias-do-sul/
Cód. 34502,Terreno Serrano,360m²,R$ 300.000,https://www.bassanesi.com.br/imovel/34502/terreno-para-comprar-com-360m-serrano-em-caxias-do-sul/
Cód. 34500,Apartamento Desvio Rizzo,69m²,R$ 430.000,https://www.bassanesi.com.br/imovel/34500/apartamento-para-comprar-com-69m-2-dormitorios-desvio-rizzo-em-caxias-do-sul/
Cód. 34498,Terreno Vinhedos,,R$ 250.000,https://www.bassanesi.com.br/imovel/34498/terreno-para-comprar-vinhedos-em-caxias-do-sul/
Cód. 34497,Casa Cinqüentenário,304m²,R$ 1.100.000,https://www.bassanesi.com.br/imovel/34497/casa-para-comprar-com-304m-4-dormitorios-cinquentenario-em-caxias-do-sul/
Cód. 34495,Apartamento Villagio Iguatemi,33m²,R$ 220.000,https://www.bassanesi.com.br/imovel/34495/apartamento-para-comprar-com-33m-1-dormitorio-villagio-iguatemi-em-caxias-do-sul/
Cód. 34487,Terreno Forqueta,837m²,R$ 7.500.000,https://www.bassanesi.com.br/imovel/34487/terreno-para-comprar-com-837m-forqueta-em-caxias-do-sul/
Cód. 34485,Casa Petrópolis,221m²,R$ 790.000,https://www.bassanesi.com.br/imovel/34485/casa-para-comprar-com-221m-3-dormitorios-petropolis-em-caxias-do-sul/
Cód. 34484,Casa Santa Lúcia,160m²,R$ 710.000,https://www.bassanesi.com.br/imovel/34484/casa-para-comprar-com-160m-3-dormitorios-santa-lucia-em-caxias-do-sul/
Cód. 34480,Chácara 3 Legua,80m²,R$ 830.000,https://www.bassanesi.com.br/imovel/34480/chacara-para-comprar-com-80m-2-dormitorios-3-legua-em-caxias-do-sul/
Cód. 34479,Casa Marechal Floriano,323m²,R$ 620.000,https://www.bassanesi.com.br/imovel/34479/casa-para-comprar-com-323m-5-dormitorios-marechal-floriano-em-caxias-do-sul/
Cód. 34476,Chácara Galópolis,600m²,R$ 2.200.000,https://www.bassanesi.com.br/imovel/34476/chacara-para-comprar-com-600m-5-dormitorios-galopolis-em-caxias-do-sul/
Cód. 34475,Terreno Cidade Nova,360m²,R$ 360.000,https://www.bassanesi.com.br/imovel/34475/terreno-para-comprar-com-360m-cidade-nova-em-caxias-do-sul/
Cód. 34470,Terreno Criúva,100m²,R$ 240.000,https://www.bassanesi.com.br/imovel/34470/terreno-para-comprar-com-100m-criuva-em-caxias-do-sul/
